t,Tr,err
0.000000000000000000e+00,6.338704427083333703e-01,5.491108073960112440e-02
1.083307811582687297e+00,5.470377604166666297e-01,5.297220234480744770e-03
2.166615623165374593e+00,5.112304687500000000e-01,9.936053540665529954e-03
3.249923434748061890e+00,4.519042968750000000e-01,3.314682919013069856e-03
4.333231246330749187e+00,3.790690104166666852e-01,4.566002649448417348e-03
5.416539057913436039e+00,3.256022135416666852e-01,8.382161458333333912e-03
6.499846869496123780e+00,3.024902343750000000e-01,9.363676225959526728e-03
7.583154681078811521e+00,2.619628906250000000e-01,8.329454154898429177e-03
8.666462492661498374e+00,2.526041666666666852e-01,9.441156438299415019e-03
9.749770304244185226e+00,2.374674479166666574e-01,5.696614583333333695e-04
1.083307811582687208e+01,2.280273437500000000e-01,1.156085990752205722e-02
1.191638592740956071e+01,2.193196614583333426e-01,9.243373135190871559e-03
1.299969373899224756e+01,2.006022135416666574e-01,4.303928327531690405e-03
1.408300155057493441e+01,1.909179687500000000e-01,3.284576183367605377e-03
1.516630936215762304e+01,1.896158854166666574e-01,2.426440676412040722e-03
1.624961717374030812e+01,1.851399739583333426e-01,9.840950273392962133e-03
1.733292498532299675e+01,2.120768229166666574e-01,3.605611640116490949e-03
1.841623279690568538e+01,2.382812500000000000e-01,9.866825889471143949e-04
1.949954060848837045e+01,2.794596354166666852e-01,4.537630813623258139e-03
2.058284842007105908e+01,2.905273437500000000e-01,5.488188574247189477e-03
2.166615623165374416e+01,2.843424479166666852e-01,5.947440231312976604e-03
2.274946404323643279e+01,2.692057291666666852e-01,3.950084993330598739e-03
2.383277185481912142e+01,2.461751302083333426e-01,1.091496401411333646e-02
2.491607966640180649e+01,2.395833333333333426e-01,3.521986492249740055e-03
2.599938747798449512e+01,2.392578125000000000e-01,6.846102468440138852e-03
2.708269528956718375e+01,2.816569010416666852e-01,3.987630208333333912e-03
2.816600310114986883e+01,3.155110677083333148e-01,4.241150462498497788e-03
2.924931091273255745e+01,3.572591145833333148e-01,6.048471411478530645e-03
3.033261872431524608e+01,3.662109375000000000e-01,7.569671845204091649e-03
3.141592653589793116e+01,3.782552083333333148e-01,6.288431476872232383e-03
