t,Tr,err
0.000000000000000000e+00,8.784179687500000000e-01,1.257343971072598376e-02
1.083307811582687297e+00,7.626953125000000000e-01,1.706250137869395195e-02
2.166615623165374593e+00,6.985677083333333703e-01,1.697396852146313903e-02
3.249923434748061890e+00,6.063639322916666297e-01,1.045094254992099542e-02
4.333231246330749187e+00,5.275065104166666297e-01,5.008024558029114913e-03
5.416539057913436039e+00,4.440104166666666852e-01,8.429434103815866899e-03
6.499846869496123780e+00,4.063313802083333148e-01,4.449198220324429402e-03
7.583154681078811521e+00,3.566894531250000000e-01,8.544921875000000000e-03
8.666462492661498374e+00,3.208821614583333148e-01,1.903322845626057719e-03
9.749770304244185226e+00,3.070475260416666852e-01,1.186812530868108263e-02
1.083307811582687208e+01,2.781575520833333148e-01,9.739480519559553379e-03
1.191638592740956071e+01,2.621256510416666852e-01,3.267392561830197422e-03
1.299969373899224756e+01,2.619628906250000000e-01,1.208187796060412357e-02
1.408300155057493441e+01,2.255859375000000000e-01,6.714237087348081529e-03
1.516630936215762304e+01,2.342122395833333426e-01,4.803500834431544304e-03
1.624961717374030812e+01,2.337239583333333426e-01,2.255024868004987595e-02
1.733292498532299675e+01,2.433268229166666574e-01,1.546159709465600753e-02
1.841623279690568538e+01,2.841796875000000000e-01,8.954781707994088902e-03
1.949954060848837045e+01,3.186848958333333148e-01,6.204140153823541060e-03
2.058284842007105908e+01,3.321126302083333148e-01,9.356600755532538949e-03
2.166615623165374416e+01,3.325195312500000000e-01,5.272156359617681184e-03
2.274946404323643279e+01,3.106282552083333148e-01,5.439705392925913569e-03
2.383277185481912142e+01,2.927246093750000000e-01,8.997942866005852192e-03
2.491607966640180649e+01,2.548828125000000000e-01,1.064184312387859857e-03
2.599938747798449512e+01,2.657877604166666852e-01,3.383890443732388148e-03
2.708269528956718375e+01,3.028157552083333148e-01,3.108468303187545464e-03
2.816600310114986883e+01,3.489583333333333148e-01,7.888844774985510552e-03
2.924931091273255745e+01,3.970540364583333148e-01,4.964192708333333912e-03
3.033261872431524608e+01,4.079589843750000000e-01,3.916409314946603555e-03
3.141592653589793116e+01,4.388020833333333148e-01,7.032681543121191946e-03
