t,Tr
0.000000000000000000e+00,8.017578125000000000e-01
6.558648546116478684e-02,5.930175781250000000e-01
1.311729709223295737e-01,4.902343750000000000e-01
1.967594563834943466e-01,4.604492187500000000e-01
2.623459418446591473e-01,3.618164062500000000e-01
3.279324273058239481e-01,2.465820312500000000e-01
3.935189127669886933e-01,2.900390625000000000e-01
4.591053982281534940e-01,2.583007812500000000e-01
5.246918836893182947e-01,2.099609375000000000e-01
5.902783691504830399e-01,2.099609375000000000e-01
6.558648546116478961e-01,1.853027343750000000e-01
7.214513400728126413e-01,1.757812500000000000e-01
7.870378255339773865e-01,1.545410156250000000e-01
8.526243109951422428e-01,1.530761718750000000e-01
9.182107964563069880e-01,1.342773437500000000e-01
9.837972819174718442e-01,1.579589843750000000e-01
1.049383767378636589e+00,7.934570312500000000e-02
1.114970252839801335e+00,1.149902343750000000e-01
1.180556738300966080e+00,1.237792968750000000e-01
1.246143223762131047e+00,1.152343750000000000e-01
1.311729709223295792e+00,1.215820312500000000e-01
1.377316194684460537e+00,1.225585937500000000e-01
1.442902680145625283e+00,1.113281250000000000e-01
1.508489165606790028e+00,1.127929687500000000e-01
1.574075651067954773e+00,1.076660156250000000e-01
1.639662136529119740e+00,7.373046875000000000e-02
1.705248621990284486e+00,9.082031250000000000e-02
1.770835107451449231e+00,8.544921875000000000e-02
1.836421592912613976e+00,9.838867187500000000e-02
1.902008078373778721e+00,9.619140625000000000e-02
1.967594563834943688e+00,4.125976562500000000e-02
2.033181049296108434e+00,7.250976562500000000e-02
2.098767534757273179e+00,9.155273437500000000e-02
2.164354020218437924e+00,6.079101562500000000e-02
2.229940505679602669e+00,6.689453125000000000e-02
2.295526991140767414e+00,7.519531250000000000e-02
2.361113476601932160e+00,6.494140625000000000e-02
2.426699962063096905e+00,8.129882812500000000e-02
2.492286447524262094e+00,5.590820312500000000e-02
2.557872932985426839e+00,6.127929687500000000e-02
2.623459418446591584e+00,7.397460937500000000e-02
2.689045903907756330e+00,7.031250000000000000e-02
2.754632389368921075e+00,7.934570312500000000e-02
2.820218874830085820e+00,3.979492187500000000e-02
2.885805360291250565e+00,5.053710937500000000e-02
2.951391845752415310e+00,7.910156250000000000e-02
3.016978331213580056e+00,5.175781250000000000e-02
3.082564816674744801e+00,6.054687500000000000e-02
3.148151302135909546e+00,4.980468750000000000e-02
3.213737787597074735e+00,7.910156250000000000e-02
3.279324273058239481e+00,4.711914062500000000e-02
3.344910758519404226e+00,3.930664062500000000e-02
3.410497243980568971e+00,6.127929687500000000e-02
3.476083729441733716e+00,2.221679687500000000e-02
3.541670214902898461e+00,5.078125000000000000e-02
3.607256700364063207e+00,3.564453125000000000e-02
3.672843185825227952e+00,4.833984375000000000e-02
3.738429671286392697e+00,6.030273437500000000e-02
3.804016156747557442e+00,5.249023437500000000e-02
3.869602642208722632e+00,3.417968750000000000e-02
3.935189127669887377e+00,5.859375000000000000e-02
4.000775613131051678e+00,4.663085937500000000e-02
4.066362098592216867e+00,5.053710937500000000e-02
4.131948584053381168e+00,3.857421875000000000e-02
4.197535069514546358e+00,5.322265625000000000e-02
4.263121554975711547e+00,6.005859375000000000e-02
4.328708040436875848e+00,6.225585937500000000e-02
4.394294525898041037e+00,6.347656250000000000e-02
4.459881011359205338e+00,7.031250000000000000e-02
4.525467496820370528e+00,5.615234375000000000e-02
4.591053982281534829e+00,5.151367187500000000e-02
4.656640467742700018e+00,6.225585937500000000e-02
4.722226953203864319e+00,4.589843750000000000e-02
4.787813438665029508e+00,6.689453125000000000e-02
4.853399924126193810e+00,4.833984375000000000e-02
4.918986409587358999e+00,5.322265625000000000e-02
