t,Tr,err
0.000000000000000000e+00,8.237304687500000000e-01,1.690497691026066340e-01
1.083307811582687297e+00,7.709147135416666297e-01,1.147984017982692923e-01
2.166615623165374593e+00,5.378417968750000000e-01,2.505387223823173429e-02
3.249923434748061890e+00,4.914550781250000000e-01,1.242561459981705863e-02
4.333231246330749187e+00,4.072265625000000000e-01,5.772260946062935001e-03
5.416539057913436039e+00,3.373209635416666852e-01,1.221543764365551690e-02
6.499846869496123780e+00,3.162434895833333148e-01,2.169847256880352154e-02
7.583154681078811521e+00,2.652180989583333148e-01,1.755456169282155338e-02
8.666462492661498374e+00,2.630208333333333148e-01,1.545002772971047766e-02
9.749770304244185226e+00,2.405598958333333426e-01,5.666891392758361713e-03
1.083307811582687208e+01,2.250162760416666574e-01,1.952938494784482032e-02
1.191638592740956071e+01,2.259928385416666574e-01,1.770501199130030887e-02
1.299969373899224756e+01,1.947428385416666574e-01,9.564511710150595813e-03
1.408300155057493441e+01,1.896158854166666574e-01,2.934205139537752289e-04
1.516630936215762304e+01,1.861165364583333426e-01,9.071977125092287389e-03
1.624961717374030812e+01,1.863606770833333426e-01,2.111796805916187070e-02
1.733292498532299675e+01,2.461751302083333426e-01,3.519080077266890233e-02
1.841623279690568538e+01,2.461751302083333426e-01,5.585670968716543658e-03
1.949954060848837045e+01,3.122558593750000000e-01,7.410515910047012038e-03
2.058284842007105908e+01,3.272298177083333148e-01,2.158785473413610267e-02
2.166615623165374416e+01,3.199869791666666852e-01,8.044712471521742528e-03
2.274946404323643279e+01,3.137207031250000000e-01,1.620242956490616781e-02
2.383277185481912142e+01,2.876790364583333148e-01,2.426972851946882642e-02
2.491607966640180649e+01,2.785644531250000000e-01,1.386738808356985896e-02
2.599938747798449512e+01,2.628580729166666852e-01,1.133465925576063876e-02
2.708269528956718375e+01,3.213704427083333148e-01,9.632818198152939826e-03
2.816600310114986883e+01,3.588053385416666852e-01,1.115621445784025986e-02
2.924931091273255745e+01,4.235026041666666852e-01,8.499850128448255271e-03
3.033261872431524608e+01,4.117838541666666852e-01,2.441012880635748394e-02
3.141592653589793116e+01,4.183756510416666852e-01,6.798535919899316091e-03
