t,Tr,err
0.000000000000000000e+00,4.440104166666666852e-01,1.054885594480988592e-01
1.083307811582687297e+00,3.231608072916666852e-01,1.242986980277635961e-01
2.166615623165374593e+00,4.846191406250000000e-01,5.361838024098024638e-03
3.249923434748061890e+00,4.123535156250000000e-01,5.799731706574489699e-03
4.333231246330749187e+00,3.509114583333333148e-01,7.723406239707275231e-03
5.416539057913436039e+00,3.138834635416666852e-01,6.848036942191220063e-03
6.499846869496123780e+00,2.887369791666666852e-01,4.009988605063450652e-03
7.583154681078811521e+00,2.587076822916666852e-01,4.215306261871702535e-03
8.666462492661498374e+00,2.421875000000000000e-01,4.164727077449214589e-03
9.749770304244185226e+00,2.343750000000000000e-01,6.758478091469584566e-03
1.083307811582687208e+01,2.310384114583333426e-01,6.900062731520660228e-03
1.191638592740956071e+01,2.126464843750000000e-01,4.939450164548671307e-03
1.299969373899224756e+01,2.064615885416666574e-01,3.413121252524538903e-03
1.408300155057493441e+01,1.922200520833333426e-01,6.422852709106654200e-03
1.516630936215762304e+01,1.931152343750000000e-01,6.525150158008169443e-03
1.624961717374030812e+01,1.839192708333333426e-01,5.701843768100052154e-03
1.733292498532299675e+01,1.779785156250000000e-01,3.406993866403169868e-02
1.841623279690568538e+01,2.303873697916666574e-01,6.674665579671412198e-03
1.949954060848837045e+01,2.466634114583333426e-01,4.155971788673081327e-03
2.058284842007105908e+01,2.538248697916666852e-01,1.115621445784025986e-02
2.166615623165374416e+01,2.486979166666666574e-01,5.647575381802562820e-03
2.274946404323643279e+01,2.246907552083333426e-01,8.398737150460218806e-03
2.383277185481912142e+01,2.046712239583333426e-01,5.967450367128469997e-03
2.491607966640180649e+01,2.006022135416666574e-01,1.277980240155843390e-02
2.599938747798449512e+01,2.156575520833333426e-01,6.275780805598331867e-03
2.708269528956718375e+01,2.419433593750000000e-01,6.080686472403204305e-03
2.816600310114986883e+01,2.722167968750000000e-01,4.159953749717467016e-03
2.924931091273255745e+01,2.910156250000000000e-01,3.672944041795819878e-03
3.033261872431524608e+01,3.206380208333333148e-01,1.097486863768526964e-02
3.141592653589793116e+01,3.381347656250000000e-01,7.279322029236120865e-03
